CID	IAUName	Class	Peakrmag	MJD	zCMB	e_zCMB	muSz	e_muSz	AVM	e_AVM	dm15z	e_dm15z	AVz	e_AVz
19668	             	      zSNIa	21.4	54402.3	0.40541	0.000158	41.81	0.24	0.1	0.14	0.93	0.09	-0.22	0.16
1119	       2005fc	       SNIa	21.5	53625.2	0.296391	0.000012	41.23	0.36	-0.07	0.19	0.93	0.2	-0.24	0.24
7024	             	      zSNIa	22	53664.2	0.337479	0.000034	42.26	0.39	0.1	0.22	0.93	0.23	-0.28	0.29
18909	       2007lq	      SNIa?	20.7	54387.3	0.226472	0.000044	40.5	0.19	-0.1	0.09	0.93	0.05	-0.31	0.09
20726	             	      zSNIa	21.9	54406.4	0.319258	0.000042	40.61	0.35	1.24	0.19	0.92	0.17	1.54	0.25
13476	             	      zSNIa	21.8	54008.3	0.274173	0.000041	40.99	0.25	0.66	0.13	0.92	0.11	0.7	0.16
18375	       2007lg	       SNIa	19.1	54388.4	0.10926	0.000017	38.45	0.18	0.44	0.05	0.92	0.03	0.54	0.06
20435	             	      zSNIa	21.3	54424.1	0.338705	0.000044	41.37	0.32	0.52	0.25	0.92	0.18	0.53	0.28
20470	       2007pz	       SNIa	20	54424.3	0.124405	0.005	39.04	0.21	0.52	0.09	0.92	0.12	0.48	0.1
17497	       2007jt	       SNIa	19.9	54362.4	0.143873	0.000023	39.22	0.18	0.38	0.05	0.92	0.03	0.44	0.06
17965	             	      zSNIa	21.7	54376.3	0.313935	0.000043	41.39	0.31	0.45	0.14	0.92	0.09	0.42	0.18
5486	             	      zSNIa	21.4	53655.2	0.22813	0.000015	40.53	0.23	0.45	0.14	0.92	0.08	0.39	0.17
21062	       2007rp	       SNIa	20.3	54423.2	0.137289	0.000016	39.55	0.19	0.5	0.09	0.92	0.07	0.36	0.09
7647	             	      zSNIa	21.5	53685.2	0.384983	0.00005	41.41	0.23	0.2	0.19	0.92	0.1	0.34	0.16
18835	       2007mj	       SNIa	19.6	54393.5	0.122617	0.000035	38.79	0.18	0.28	0.07	0.92	0.03	0.22	0.06
17391	       2007jo	       SNIa	20.6	54346.3	0.188543	0.005	39.82	0.24	0.27	0.11	0.92	0.09	0.17	0.17
18804	       2007me	       SNIa	20.3	54393.4	0.197257	0.00006	39.85	0.18	0.11	0.06	0.92	0.04	0.04	0.07
2635	       2005fw	       SNIa	19.9	53638.5	0.143104	0.0005	39.23	0.18	0.07	0.07	0.92	0.03	0.04	0.07
6924	       2005ja	       SNIa	21.3	53679.3	0.326398	0.005	41.1	0.24	0.12	0.15	0.92	0.11	0.02	0.14
12983	       2006gl	       SNIa	21.3	53975.3	0.263944	0.000014	40.72	0.3	0.09	0.18	0.92	0.19	-0.02	0.27
17508	             	      zSNIa	21.8	54348.4	0.337992	0.000052	41.56	0.36	0.21	0.25	0.92	0.23	-0.1	0.39
13646	             	      zSNIa	21.3	53989.3	0.303859	0.00001	41.33	0.24	-0.12	0.14	0.92	0.1	-0.24	0.18
15132	       2006jt	       SNIa	19.8	54028.2	0.153037	0.000016	39.44	0.18	-0.09	0.06	0.92	0.03	-0.25	0.06
14972	             	      zSNIa	21.8	54012.3	0.254406	0.000012	42.36	0.35	0.12	0.2	0.92	0.14	-0.32	0.28
2422	       2005fi	       SNIa	21	53637.3	0.263492	0.005	40.92	0.21	-0.13	0.1	0.92	0.05	-0.36	0.11
7056	             	      zSNIa	21.6	53671.3	0.292765	0.000045	40.35	0.29	1.4	0.15	0.91	0.17	1.4	0.21
9817	             	      zSNIa	21.2	53697.2	0.223356	0.000012	40.15	0.26	0.88	0.21	0.91	0.14	1.25	0.21
18011	             	      zSNIa	22	54376.3	0.282386	0.000033	40.79	0.32	0.87	0.19	0.91	0.17	1.08	0.26
15260	             	      zSNIa	21.3	54022.3	0.25218	0.000021	40.41	0.22	0.8	0.1	0.91	0.06	0.81	0.12
17186	       2007hx	       SNIa	19.1	54358.4	0.078487	0.000018	38.13	0.18	0.5	0.06	0.91	0.04	0.68	0.07
18201	             	      zSNIa	21.5	54376.5	0.292224	0.00002	40.84	0.27	0.49	0.15	0.91	0.11	0.5	0.2
18602	       2007lo	       SNIa	20.1	54392.3	0.136959	0.000022	39.21	0.54	0.4	0.07	0.91	0.04	0.44	0.08
3901	       2005ho	       SNIa	18	53663.3	0.061697	0.000008	37.2	0.18	0.25	0.03	0.91	0.02	0.44	0.05
18454	             	      zSNIa	22.1	54376.5	0.347973	0.000036	41.22	0.34	0.39	0.23	0.91	0.16	0.37	0.33
17899	             	      zSNIa	21.2	54359.2	0.287242	0.000022	40.69	0.24	0.4	0.13	0.91	0.07	0.36	0.17
2532	             	      zSNIa	21.5	53640.4	0.267696	0.000045	40.93	0.26	0.32	0.15	0.91	0.1	0.32	0.18
15425	       2006kx	       SNIa	19.9	54041.4	0.159347	0.000035	39.2	0.18	0.19	0.07	0.91	0.04	0.24	0.06
20719	             	      zSNIa	21.1	54404.4	0.371946	0.000019	41.96	0.32	0.03	0.31	0.91	0.15	0.24	0.32
703	             	      zSNIa	21.3	53623.2	0.296481	0.00002	40.82	0.24	0.34	0.14	0.91	0.11	0.23	0.17
15453	       2006ky	       SNIa	20.5	54039.1	0.173734	0.005	39.94	0.2	0.27	0.08	0.91	0.04	0.19	0.09
7121	             	      zSNIa	21.4	53680.1	0.25319	0.0005	40.71	0.22	0.29	0.13	0.91	0.1	0.18	0.13
13378	             	      zSNIa	21.7	53995.5	0.304072	0.000062	41.08	0.28	0.31	0.23	0.91	0.18	0.16	0.34
